RIC,Date,Total Equity,Company Market Cap,Revenue,Full-Time Employees,"Cash Dividend Paid, Common, Discrete"
OHBG.DE,31/12/2020,181.697,674.2685056,1004.618,2933,7.482
OHBG.DE,31/12/2021,206.131,628.851456,880.319,3029,0
MUBG.DE,31/12/1999,87.141,,53.91,756,0
MUBG.DE,31/12/2000,94.829,,71.026,898,4.849
MUBG.DE,31/12/2001,104.316,,110.322,1206,6.572
MUBG.DE,31/12/2002,101.824,,89.422,1265,7.508
MUBG.DE,31/12/2003,98.253,,91.317,1265,4.739
MUBG.DE,31/12/2004,97.934,167.717432,95.204,1262,6.046
MUBG.DE,31/12/2005,110.833,256.19136,128.939,1338,6.554
MUBG.DE,31/12/2006,126.215,184.2944613,147.932,1433,9.033
MUBG.DE,31/12/2007,140.299,151.8937996,160.676,1529,12.006
MUBG.DE,31/12/2008,141.743,109.25808,159.134,1710,15.617
MUBG.DE,31/12/2009,144.97,107.68828,172.575,1841,12.72
MUBG.DE,31/12/2010,137.132,250.85404,160.488,1897,12.79
MUBG.DE,31/12/2011,156.789,137.82844,207.247,2263,13.929
MUBG.DE,31/12/2012,160.365,126.21192,213.225,2835,17.305
MUBG.DE,31/12/2013,159.80241,123.0722808,235.95289,2762,6.1402
MUBG.DE,31/12/2014,149.03772,255.197325,199.41056,2747,6.14147
MUBG.DE,31/12/2015,130.36596,406.126005,230.48649,2875,14.56027
MUBG.DE,31/12/2016,152.68601,664.6299466,273.79554,3018,14.56231
MUBG.DE,31/12/2017,171.12587,587.84296,293.53329,3077,21.84725
MUBG.DE,31/12/2018,167.1993,562.8596342,266.4019,3078,21.70265
MUBG.DE,31/12/2019,186.76804,548.1635602,275.34911,3344,21.54459
MUBG.DE,31/12/2020,208.89822,573.146886,286.91452,3218,21.48055
MUBG.DE,31/12/2021,218.18875,810.0726947,283.05601,3147,21.42259
AM3D.DE,31/12/2014,14.693,347.0307331,21.575,79,
AM3D.DE,31/12/2015,97.045,341.636473,33.559,146,
AM3D.DE,31/12/2016,99.004,584.3781775,66.137,260,
AM3D.DE,31/12/2017,95.202,858.5863993,80.707,332,
AM3D.DE,31/12/2018,93.133,161.827803,82.494,370,
AM3D.DE,31/12/2019,79.087,348.9007309,71.659,422,
AM3D.DE,31/12/2020,44.514,344.5493613,48.962,405,
AM3D.DE,31/12/2021,15.768,379.7020905,61.759,429,
HG1G.F,31/12/2005,79.101,,613.458,4447,
HG1G.F,31/12/2006,90.552,,736.459,4701,2.912
HG1G.F,31/12/2007,90.552,324.7416,736.459,4701,2.912
HG1G.F,31/12/2008,150.228,159.86072,836.862,5114,5.825
HG1G.F,31/12/2009,168.272,167.0772,856.448,5330,14.119
HG1G.F,31/12/2010,142.95,260.4208,524.075,4954,4.706
HG1G.F,31/12/2011,154.161,122.3664,717.737,5051,0
HG1G.F,31/12/2012,145.149,179.70604,798.678,5141,4.706
HG1G.F,31/12/2013,157.705,299.01328,766.951,5048,0
HG1G.F,31/12/2014,169.26,470.64,788.825,5064,3.922
HG1G.F,31/12/2015,115.42562,561.614712,0,5606,5.491
HG1G.F,31/12/2016,122.67947,659.743152,0,48,
HG1G.F,31/12/2017,106.83459,958.5368,10.27428,67,
HG1G.F,31/12/2018,106.20707,705.96,17.69064,72,
HG1G.F,31/12/2019,106.20707,588.3,24.1941,80,
HG1G.F,31/12/2020,106.20707,643.208,24.56956,74,
HG1G.F,31/12/2021,106.20707,807.932,21.26785,73,
IBU.DE,31/12/2014,,,12.537,,0.1
IBU.DE,31/12/2015,11.71886,,16.65244,127,0.6
IBU.DE,31/12/2016,11.71886,,16.65244,127,0.6
IBU.DE,31/12/2017,13.89917,73.6,17.74405,143,0.65
IBU.DE,31/12/2018,30.0594,57.6,16.80795,145,0.51
IBU.DE,31/12/2019,31.768,63.2,32.562,239,0.161
IBU.DE,31/12/2020,31.83494,123.2,48.4522,238,0.8
IBU.DE,31/12/2021,32.83678,213.75,32.96021,205,
SHFG.DE,31/12/2000,0.764,,2.915,40,
SHFG.DE,31/12/2001,5.494,4.275,4.344,54,0
SHFG.DE,31/12/2002,4.332,2.1375,3.418,51,0.191
SHFG.DE,31/12/2003,4.338,2.025,4.857,44,0
SHFG.DE,31/12/2004,3.591,1.9125,6.448,70,
SHFG.DE,31/12/2005,4.445,7.245,9.16,60,0
SHFG.DE,31/12/2006,4.915,6.2775,11.94,61,0.113
SHFG.DE,31/12/2007,5.251,15.975,10.982,66,0.338
SHFG.DE,31/12/2008,6.249,16.875,16.968,100,1.234
SHFG.DE,31/12/2009,8.101,47.75625,20.823,137,1.222
SHFG.DE,31/12/2010,10.054,97.982875,20.32175,145,1.29301
SHFG.DE,31/12/2011,11.3773,76.95790225,22.19598,167,1.92568
SHFG.DE,31/12/2012,12.20886,59.63077914,26.96528,180,1.92568
SHFG.DE,31/12/2013,16.81637,42.2587683,27.15713,223,1.97322
SHFG.DE,31/12/2014,13.53982,51.72727428,23.53551,248,0.89188
SHFG.DE,31/12/2015,13.89022,107.5813668,30.47992,280,0.29729
SHFG.DE,31/12/2016,16.0239,203.3017081,56.2362,401,0.4831
SHFG.DE,31/12/2017,47.51067,175.182816,80.68526,712,1.2635
SHFG.DE,31/12/2018,59.82156,107.2237393,122.3428,1022,1.93241
SHFG.DE,31/12/2019,69.26538,326.8211265,130.98328,1289,0
SHFG.DE,31/12/2020,66.817,439.2380223,145.185,1230,
SHFG.DE,31/12/2021,87.912,289.6702916,143.781,1463,
NN6G.DE,31/12/2005,0.049,,,,
NN6G.DE,31/12/2006,0.049,,0,,
NN6G.DE,31/12/2007,0.049,,0,,
NN6G.DE,31/12/2008,,8.91275,,,
NN6G.DE,31/12/2009,,3.29111424,,,
NN6G.DE,31/12/2010,1.56878,6.35878239,0.31384,10,
NN6G.DE,31/12/2011,0.85814,2.6301533,0.83153,15,
NN6G.DE,31/12/2012,0.86216,5.56186,0.93489,15,
NN6G.DE,31/12/2013,0.86216,5.0925,0.93489,15,
NN6G.DE,31/12/2014,1.644,3.28,1.042,15,
NN6G.DE,31/12/2015,1.90718,4.303771287,0.51486,14,
NN6G.DE,31/12/2016,2.27418,5.42877312,0.45012,14,
NN6G.DE,31/12/2017,3.03462,9.517222,1.5393,14,
NN6G.DE,31/12/2018,3.82397,6.77358,1.65928,16,
NN6G.DE,31/12/2019,5.61774,5.98013289,2.30783,16,
NN6G.DE,31/12/2020,4.42915,44.83399989,1.21831,15,
NN6G.DE,31/12/2021,7.99024,96.64925977,16.92941,12,
DGRG.DE,31/12/2001,8.545734,,7.305851,35,
DGRG.DE,31/12/2002,8.300826,,5.749479,37,
DGRG.DE,31/12/2003,7.969,10.76,5.3,41,
DGRG.DE,31/12/2004,8.462,20.84,4.749,45,
DGRG.DE,31/12/2005,8.676,23.92,5.917,47,
DGRG.DE,31/12/2006,8.865,32.8,6.417,32,
DGRG.DE,31/12/2007,9.241,30.864,6.665,29,
DGRG.DE,31/12/2008,9.42,21.552,6.899,45,
DGRG.DE,31/12/2009,8.193,17.92,4.297,42,
DGRG.DE,31/12/2010,7.62619,15.184,3.70014,41,
DGRG.DE,31/12/2011,8.4906,16.432,3.72193,32,
DGRG.DE,31/12/2012,8.92143,22.8,4.78029,30,
DGRG.DE,31/12/2013,9.57491,19.552,4.00128,39,
DGRG.DE,31/12/2014,8.08269,18.136,3.26949,28,
DGRG.DE,31/12/2015,8.50677,22.408,3.80224,29,
DGRG.DE,31/12/2016,8.59532,22.48,3.91716,29,
DGRG.DE,31/12/2017,8.64773,26.08,4.05711,30,
DGRG.DE,31/12/2018,8.71095,25.44,4.62622,29,
