Name (or Code),RIC,ISIN,CUSIP/CINS,Type of Equity,Exchange,Country of Issuer
Synlab AG,SYAB.DE,DE000A2TSL71,D8T7KY106,Ordinary Share,Xetra,Germany
Deutsche Wohnen SE,DWNG.DE,DE000A0HN5C6,D2046U176,Ordinary Share,Xetra,Germany
Kloeckner & Co SE,KCOGn.DE,DE000KC01000,D40376101,Ordinary Share,Xetra,Germany
DWS Group GmbH & Co KgaA,DWSG.DE,DE000DWS1007,D23390103,Ordinary Share,Xetra,Germany
Cancom SE,COKG.DE,DE0005419105,D8238N102,Ordinary Share,Xetra,Germany
Deutsche Pfandbriefbank AG,PBBG.DE,DE0008019001,D1R83Y100,Ordinary Share,Xetra,Germany
Vitesco Technologies Group AG,VTSCn.DE,DE000VTSC017,D8T4KW107,Ordinary Share,Xetra,Germany
Krones AG,KRNG.DE,DE0006335003,D47441171,Ordinary Share,Xetra,Germany
MorphoSys AG,MORG.DE,DE0006632003,D55040105,Ordinary Share,Xetra,Germany
Nagarro SE,NA9n.DE,DE000A3H2200,D5S4HP103,Ordinary Share,Xetra,Germany
Sixt SE,SIXG.DE,DE0007231326,D69899116,Ordinary Share,Xetra,Germany
Eckert & Ziegler Strahlen und Medizintechnik AG,EUZG.DE,DE0005659700,D2371P107,Ordinary Share,Xetra,Germany
Stroeer SE & Co KgaA,SAXG.DE,DE0007493991,D8169G100,Ordinary Share,Xetra,Germany
Jenoptik AG,JENGn.DE,DE000A2NB601,D3S19K104,Ordinary Share,Xetra,Germany
Duerr AG,DUEG.DE,DE0005565204,D23279108,Ordinary Share,Xetra,Germany
ATAI Life Sciences NV,ATAI.O,NL0015000DX5,N0731H103,Ordinary Share,NASDAQ Global Market Consolidated,Germany
Affimed NV,AFMD.O,NL0010872420,N01045108,Ordinary Share,NASDAQ Global Market Consolidated,Germany
Hornbach Holding AG & Co KGaA,HBH.DE,DE0006083405,D33875119,Ordinary Share,Xetra,Germany
HELLA GmbH & Co KGaA,HLE.DE,DE000A13SX22,D3R112160,Ordinary Share,Xetra,Germany
Bilfinger SE,GBFG.DE,DE0005909006,D11648108,Ordinary Share,Xetra,Germany
ABOUT YOU Holding SE,YOUG.DE,DE000A3CNK42,D0R5GC102,Ordinary Share,Xetra,Germany
GFT Technologies SE,GFTG.DE,DE0005800601,D2823P101,Ordinary Share,Xetra,Germany
Dermapharm Holding SE,DMPG.DE,DE000A2GS5D8,D1T0ZJ103,Ordinary Share,Xetra,Germany
SGL Carbon SE,SGCG.DE,DE0007235301,D6949M108,Ordinary Share,Xetra,Germany
DEUTZ AG,DEZG.DE,DE0006305006,D39176108,Ordinary Share,Xetra,Germany
Metro AG,B4B.DE,DE000BFB0019,D5S17Q116,Ordinary Share,Xetra,Germany
AURELIUS Equity Opportunities SE & Co KgaA,AR4G.DE,DE000A0JK2A8,D0R9AT103,Ordinary Share,Xetra,Germany
Saf-Holland Se,SFQ.DE,DE000SAFH001,L7999D106,Ordinary Share,Xetra,Germany
CropEnergies AG,CE2G.DE,DE000A0LAUP1,D16327104,Ordinary Share,Xetra,Germany
Heidelberger Druckmaschinen AG,HDDG.DE,DE0007314007,D3166C103,Ordinary Share,Xetra,Germany
Sono Group NV,SEV.O,NL0015000N74,N81409109,Ordinary Share,NASDAQ Global Market Consolidated,Germany
